Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
Cellular & Molecular Immunology,CELL MOL IMMUNOL,1672-7681,2042-0226,IMMUNOLOGY - SCIE,22.1
Molecular Plant,MOL PLANT,1674-2052,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,21.949
TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,0167-7799,1879-3096,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,21.942
Eurosurveillance,EUROSURVEILLANCE,1025-496X,1560-7917,INFECTIOUS DISEASES - SCIE,21.286
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,0962-8924,1879-3088,CELL BIOLOGY - SCIE,21.167
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,1058-4838,1537-6591,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,20.999
JOURNAL OF MEDICAL VIROLOGY,J MED VIROL,0146-6615,1096-9071,VIROLOGY - SCIE,20.693
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,20.589
Science Bulletin,SCI BULL,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES - SCIE,20.577
Travel Medicine and Infectious Disease,TRAVEL MED INFECT DI,1477-8939,1873-0442,INFECTIOUS DISEASES - SCIE,20.441
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,1616-3028,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",19.924
TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,1471-4906,1471-4981,IMMUNOLOGY - SCIE,19.709
Emerging Microbes & Infections,EMERG MICROBES INFEC,N/A,2222-1751,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,19.568
Science Translational Medicine,SCI TRANSL MED,1946-6234,1946-6242,CELL BIOLOGY - SCIE,19.343
Molecular Cell,MOL CELL,1097-2765,1097-4164,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,19.328
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,0889-1591,1090-2139,IMMUNOLOGY - SCIE,19.227
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,0305-1048,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,19.16
