Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,J MICROBIOL IMMUNOL,1684-1182,1995-9133,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,10.273
Journal of Environmental Informatics,J ENVIRON INFORM,1726-2135,1684-8799,ENVIRONMENTAL SCIENCES - SCIE,10.22
CLINICAL IMMUNOLOGY,CLIN IMMUNOL,1521-6616,1521-7035,IMMUNOLOGY - SCIE,10.19
Science China-Chemistry,SCI CHINA CHEM,1674-7291,1869-1870,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",10.152
ANTIVIRAL RESEARCH,ANTIVIR RES,0166-3542,1872-9096,VIROLOGY - SCIE,10.103
Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,1757-7780,1757-7799,ENVIRONMENTAL STUDIES - SSCI,10.072
Conservation Letters,CONSERV LETT,1755-263X,1755-263X,BIODIVERSITY CONSERVATION - SCIE,10.068
Cell Reports,CELL REP,2211-1247,2211-1247,CELL BIOLOGY - SCIE,9.995
ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,0269-7491,1873-6424,ENVIRONMENTAL SCIENCES - SCIE,9.988
Chemical Science,CHEM SCI,2041-6520,2041-6539,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",9.969
Advances in Virus Research,ADV VIRUS RES,0065-3527,1557-8399,VIROLOGY - SCIE,9.938
JOURNAL OF PATHOLOGY,J PATHOL,0022-3417,1096-9896,PATHOLOGY - SCIE,9.883
Physics of Life Reviews,PHYS LIFE REV,1571-0645,1873-1457,BIOLOGY - SCIE,9.833
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,ECOLOGY - SCIE,9.814
Science Signaling,SCI SIGNAL,1945-0877,1937-9145,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,9.714
Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,1943-0264,1943-0264,CELL BIOLOGY - SCIE,9.708
Immunity & Ageing,IMMUN AGEING,1742-4933,1742-4933,IMMUNOLOGY - SCIE,9.701
Cell Death & Disease,CELL DEATH DIS,2041-4889,2041-4889,CELL BIOLOGY - SCIE,9.696
ACS Sensors,ACS SENSORS,2379-3694,2379-3694,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",9.618
Cell and Bioscience,CELL BIOSCI,N/A,2045-3701,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,9.597
PLOS BIOLOGY,PLOS BIOL,1544-9173,1545-7885,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOLOGY - SCIE,9.593
Journal of Neuroinflammation,J NEUROINFLAMM,N/A,1742-2094,IMMUNOLOGY - SCIE,9.589
MICROBES AND INFECTION,MICROBES INFECT,1286-4579,1769-714X,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,9.57
Environmental Science-Nano,ENVIRON SCI-NANO,2051-8153,2051-8161,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; ENVIRONMENTAL SCIENCES - SCIE",9.473
GENOME RESEARCH,GENOME RES,1088-9051,1549-5469,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,9.438
Gut Microbes,GUT MICROBES,1949-0976,1949-0984,MICROBIOLOGY - SCIE,9.434
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,N/A,1477-3155,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,9.429
EMBO REPORTS,EMBO REP,1469-221X,1469-3178,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,9.421
npj Vaccines,NPJ VACCINES,N/A,2059-0105,IMMUNOLOGY - SCIE,9.399
Environmental Innovation and Societal Transitions,ENVIRON INNOV SOC TR,2210-4224,2210-4232,ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI,9.377
Environmental Science and Ecotechnology,ENVIRON SCI ECOTECH,2666-4984,2666-4984,ENVIRONMENTAL SCIENCES - SCIE,9.371
Water Research X,WATER RES X,N/A,2589-9147,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,9.365
Wiley Interdisciplinary Reviews-RNA,WIRES RNA,1757-7004,1757-7012,CELL BIOLOGY - SCIE,9.349
ULTRASONICS SONOCHEMISTRY,ULTRASON SONOCHEM,1350-4177,1873-2828,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",9.336
Research Synthesis Methods,RES SYNTH METHODS,1759-2879,1759-2887,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE; MULTIDISCIPLINARY SCIENCES - SCIE,9.308
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,1420-682X,1420-9071,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,9.234
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,2168-0485,2168-0485,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",9.224
HLA,HLA,2059-2302,2059-2310,CELL BIOLOGY - SCIE; IMMUNOLOGY - SCIE; PATHOLOGY - SCIE,9.2
Systemic Biology,SYST BIOL,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY - SCIE,9.16
ChemSusChem,CHEMSUSCHEM,1864-5631,1864-564X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",9.14
Particle and Fibre Toxicology,PART FIBRE TOXICOL,1743-8977,1743-8977,TOXICOLOGY - SCIE,9.112
Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,1672-9072,1744-7909,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,9.106
BioScience Trends,BIOSCI TRENDS,1881-7815,1881-7823,BIOLOGY - SCIE,9.083
CRITICAL REVIEWS IN BIOTECHNOLOGY,CRIT REV BIOTECHNOL,0738-8551,1549-7801,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,9.062
Microbiology Spectrum,MICROBIOL SPECTR,2165-0497,2165-0497,MICROBIOLOGY - SCIE,9.043
Cell Chemical Biology,CELL CHEM BIOL,2451-9448,2451-9448,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,9.039
Mucosal Immunology,MUCOSAL IMMUNOL,1933-0219,1935-3456,IMMUNOLOGY - SCIE,9.02
One Health,ONE HEALTH-AMSTERDAM,N/A,2352-7714,INFECTIOUS DISEASES - SCIE,9
CURRENT OPINION IN CHEMICAL BIOLOGY,CURR OPIN CHEM BIOL,1367-5931,1879-0402,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,8.972
Journal of Hospital Infection,J HOSP INFECT,0195-6701,1532-2939,INFECTIOUS DISEASES - SCIE,8.944
Chemosphere,CHEMOSPHERE,0045-6535,1879-1298,ENVIRONMENTAL SCIENCES - SCIE,8.943
Sustainable Production and Consumption,SUSTAIN PROD CONSUMP,2352-5509,2352-5509,ENVIRONMENTAL STUDIES - SSCI,8.921
International Journal of Behavioral Nutrition and Physical Activity,INT J BEHAV NUTR PHY,N/A,1479-5868,PHYSIOLOGY - SCIE,8.915
Comprehensive Physiology,COMPR PHYSIOL,2040-4603,2040-4603,PHYSIOLOGY - SCIE,8.915
Journal of Environmental Management,J ENVIRON MANAGE,0301-4797,1095-8630,ENVIRONMENTAL SCIENCES - SCIE,8.91
Topics in Current Chemistry,TOPICS CURR CHEM,2365-0869,2364-8961,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.905
Energy,ENERGY,0360-5442,1873-6785,THERMODYNAMICS - SCIE,8.857
Earths Future,EARTHS FUTURE,N/A,2328-4277,ENVIRONMENTAL SCIENCES - SCIE,8.852
Current Opinion in Green and Sustainable Chemistry,CURR OPIN GREEN SUST,2452-2236,2452-2236,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.843
Exposure and Health,EXPOS HEALTH,2451-9766,2451-9685,WATER RESOURCES - SCIE,8.835
METABOLIC ENGINEERING,METAB ENG,1096-7176,1096-7184,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,8.829
Waste Management,WASTE MANAGE,0956-053X,1879-2456,ENVIRONMENTAL SCIENCES - SCIE,8.816
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,1537-1719,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,8.8
Frontiers in Immunology,FRONT IMMUNOL,1664-3224,1664-3224,IMMUNOLOGY - SCIE,8.787
ONCOGENE,ONCOGENE,0950-9232,1476-5594,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,8.756
CELL PROLIFERATION,CELL PROLIFERAT,0960-7722,1365-2184,CELL BIOLOGY - SCIE,8.755
eLife,ELIFE,2050-084X,2050-084X,BIOLOGY - SCIE,8.713
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,1425-8153,1689-1392,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,8.712
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,CRIT REV BIOCHEM MOL,1040-9238,1549-7798,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,8.697
Materials Chemistry Frontiers,MATER CHEM FRONT,N/A,2052-1537,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.683
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,8.678
Plant Communications,PLANT COMMUN,2590-3462,2590-3462,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,8.625
JOURNAL OF CLINICAL IMMUNOLOGY,J CLIN IMMUNOL,0271-9142,1573-2592,IMMUNOLOGY - SCIE,8.542
Energy Research & Social Science,ENERGY RES SOC SCI,2214-6296,2214-6326,ENVIRONMENTAL STUDIES - SSCI,8.514
Limnology and Oceanography Letters,LIMNOL OCEANOGR LETT,N/A,2378-2242,LIMNOLOGY - SCIE; OCEANOGRAPHY - SCIE,8.507
Scientific Data,SCI DATA,N/A,2052-4463,MULTIDISCIPLINARY SCIENCES - SCIE,8.501
Journal of Cheminformatics,J CHEMINFORMATICS,1758-2946,1758-2946,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.489
Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,1535-3958,1535-3966,ENVIRONMENTAL STUDIES - SSCI,8.464
npj Biofilms and Microbiomes,NPJ BIOFILMS MICROBI,N/A,2055-5008,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; MICROBIOLOGY - SCIE,8.462
Materials Science & Engineering C-Materials for Biological Applications,MAT SCI ENG C-MATER,0928-4931,1873-0191,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",8.457
CHINESE CHEMICAL LETTERS,CHINESE CHEM LETT,1001-8417,1878-5964,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.455
ENVIRONMENTAL RESEARCH,ENVIRON RES,0013-9351,1096-0953,ENVIRONMENTAL SCIENCES - SCIE,8.431
CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,0955-0674,1879-0410,CELL BIOLOGY - SCIE,8.386
Methods in Ecology and Evolution,METHODS ECOL EVOL,2041-210X,2041-2096,ECOLOGY - SCIE,8.335
AMERICAN STATISTICIAN,AM STAT,0003-1305,1537-2731,STATISTICS & PROBABILITY - SCIE,8.325
Journal of CO2 Utilization,J CO2 UTIL,2212-9820,2212-9839,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.321
Nanoscale,NANOSCALE,2040-3364,2040-3372,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8.307
Resources Policy,RESOUR POLICY,0301-4207,1873-7641,ENVIRONMENTAL STUDIES - SSCI,8.222
MODERN PATHOLOGY,MODERN PATHOL,0893-3952,1530-0285,PATHOLOGY - SCIE,8.209
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,J INVEST ALLERG CLIN,1018-9068,1698-0808,IMMUNOLOGY - SCIE,8.185
Journal of Molecular Cell Biology,J MOL CELL BIOL,1674-2788,1759-4685,CELL BIOLOGY - SCIE,8.185
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,ECOLOGY - SCIE; ENVIRONMENTAL STUDIES - SSCI,8.119
FREE RADICAL BIOLOGY AND MEDICINE,FREE RADICAL BIO MED,0891-5849,1873-4596,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,8.101
Current Pollution Reports,CURR POLLUT REP,2198-6592,2198-6592,ENVIRONMENTAL SCIENCES - SCIE,8.097
Stem Cell Research & Therapy,STEM CELL RES THER,N/A,1757-6512,CELL BIOLOGY - SCIE,8.088
JOURNAL OF CELL BIOLOGY,J CELL BIOL,0021-9525,1540-8140,CELL BIOLOGY - SCIE,8.077
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,1093-7404,1521-6950,ENVIRONMENTAL SCIENCES - SCIE; TOXICOLOGY - SCIE,8.071
International Journal of Biological Macromolecules,INT J BIOL MACROMOL,0141-8130,1879-0003,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,8.025
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,2008-9244,2193-8865,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",8
Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,1877-3435,1877-3443,ENVIRONMENTAL SCIENCES - SCIE,7.964
Annual Review of Statistics and Its Application,ANNU REV STAT APPL,2326-8298,2326-831X,STATISTICS & PROBABILITY - SCIE,7.917
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,0179-5953,2197-6554,ENVIRONMENTAL SCIENCES - SCIE; TOXICOLOGY - SCIE,7.9
Biomedical Journal,BIOMED J,2319-4170,2320-2890,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7.892
Cell Reports Physical Science,CELL REP PHYS SCI,N/A,2666-3864,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",7.832
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,0959-440X,1879-033X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,7.786
mBio,MBIO,2150-7511,2150-7511,MICROBIOLOGY - SCIE,7.786
HISTOPATHOLOGY,HISTOPATHOLOGY,0309-0167,1365-2559,CELL BIOLOGY - SCIE; PATHOLOGY - SCIE,7.778
JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,0022-1899,1537-6613,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,7.759
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,2352-1864,2352-1864,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,7.758
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,1044-1549,1535-4989,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,7.748
BIODRUGS,BIODRUGS,1173-8804,1179-190X,IMMUNOLOGY - SCIE,7.744
OncoImmunology,ONCOIMMUNOLOGY,2162-402X,2162-402X,IMMUNOLOGY - SCIE,7.723
Antioxidants,ANTIOXIDANTS-BASEL,N/A,2076-3921,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7.675
Biotechnology for Biofuels,BIOTECHNOL BIOFUELS,N/A,1754-6834,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,7.67
Cells,CELLS-BASEL,N/A,2073-4409,CELL BIOLOGY - SCIE,7.666
GigaScience,GIGASCIENCE,2047-217X,2047-217X,MULTIDISCIPLINARY SCIENCES - SCIE,7.658
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,J ENVIRON PSYCHOL,0272-4944,1522-9610,ENVIRONMENTAL STUDIES - SSCI,7.649
BIOLOGICAL RESEARCH,BIOL RES,0716-9760,0717-6287,BIOLOGY - SCIE,7.634
EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,1462-3994,1462-3994,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7.615
Materials Today Chemistry,MATER TODAY CHEM,2468-5194,2468-5194,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",7.613
BRAIN PATHOLOGY,BRAIN PATHOL,1015-6305,1750-3639,PATHOLOGY - SCIE,7.611
Biomaterials Science,BIOMATER SCI-UK,2047-4830,2047-4849,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",7.59
CURRENT OPINION IN MICROBIOLOGY,CURR OPIN MICROBIOL,1369-5274,1879-0364,MICROBIOLOGY - SCIE,7.584
Energy Policy,ENERG POLICY,0301-4215,1873-6777,ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI,7.576
Journal of Materials Chemistry B,J MATER CHEM B,2050-750X,2050-7518,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",7.571
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,7.563
Cell Communication and Signaling,CELL COMMUN SIGNAL,N/A,1478-811X,CELL BIOLOGY - SCIE,7.54
Journal of Infection and Public Health,J INFECT PUBLIC HEAL,1876-0341,1876-035X,INFECTIOUS DISEASES - SCIE,7.537
Acta Physiologica,ACTA PHYSIOL,1748-1708,1748-1716,PHYSIOLOGY - SCIE,7.523
LAB ON A CHIP,LAB CHIP,1473-0197,1473-0189,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",7.517
Reviews of Physiology Biochemistry and Pharmacology,REV PHYSIOL BIOCH P,0303-4240,N/A,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; PHYSIOLOGY - SCIE,7.5
People and Nature,PEOPLE NAT,N/A,2575-8314,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE,7.5
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,7.499
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,1084-9521,1096-3634,CELL BIOLOGY - SCIE,7.499
International Soil and Water Conservation Research,INT SOIL WATER CONSE,2095-6339,2589-059X,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,7.481
ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,1323-8930,1440-1592,IMMUNOLOGY - SCIE,7.478
ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,1523-0864,1557-7716,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7.468
PLoS Pathogens,PLOS PATHOG,1553-7366,1553-7374,MICROBIOLOGY - SCIE; PARASITOLOGY - SCIE; VIROLOGY - SCIE,7.464
RUSSIAN CHEMICAL REVIEWS,RUSS CHEM REV+,0036-021X,1468-4837,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",7.46
INFECTION,INFECTION,0300-8126,1439-0973,INFECTIOUS DISEASES - SCIE,7.455
Wiley Interdisciplinary Reviews-Water,WIRES WATER,2049-1948,2049-1948,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,7.428
International Journal of Bioprinting,INT J BIOPRINTING,2424-7723,2424-8002,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",7.422
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,INT J HYG ENVIR HEAL,1438-4639,1618-131X,INFECTIOUS DISEASES - SCIE,7.401
CRITICAL REVIEWS IN MICROBIOLOGY,CRIT REV MICROBIOL,1040-841X,1549-7828,MICROBIOLOGY - SCIE,7.391
Genes & Diseases,GENES DIS,2352-4820,2352-3042,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7.376
Tissue Engineering Part B-Reviews,TISSUE ENG PART B-RE,1937-3368,1937-3376,"CELL BIOLOGY - SCIE; MATERIALS SCIENCE, BIOMATERIALS - SCIE",7.376
BMC BIOLOGY,BMC BIOL,N/A,1741-7007,BIOLOGY - SCIE,7.364
Journal of Water Process Engineering,J WATER PROCESS ENG,2214-7144,2214-7144,WATER RESOURCES - SCIE,7.34
mSystems,MSYSTEMS,2379-5077,2379-5077,MICROBIOLOGY - SCIE,7.328
Oxidative Medicine and Cellular Longevity,OXID MED CELL LONGEV,1942-0900,1942-0994,CELL BIOLOGY - SCIE,7.31
Stem Cell Reports,STEM CELL REP,2213-6711,2213-6711,CELL BIOLOGY - SCIE,7.294
Communications Earth & Environment,COMMUN EARTH ENVIRON,N/A,2662-4435,ENVIRONMENTAL SCIENCES - SCIE,7.29
CURRENT OPINION IN IMMUNOLOGY,CURR OPIN IMMUNOL,0952-7915,1879-0372,IMMUNOLOGY - SCIE,7.268
Essays in Biochemistry,ESSAYS BIOCHEM,0071-1365,1744-1358,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7.258
IMMUNOLOGY,IMMUNOLOGY,0019-2805,1365-2567,IMMUNOLOGY - SCIE,7.215
Communications Chemistry,COMMUN CHEM,2399-3669,2399-3669,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",7.211
JOURNAL OF INDUSTRIAL ECOLOGY,J IND ECOL,1088-1980,1530-9290,ENVIRONMENTAL SCIENCES - SCIE,7.202
ATMOSPHERIC CHEMISTRY AND PHYSICS,ATMOS CHEM PHYS,1680-7316,1680-7324,ENVIRONMENTAL SCIENCES - SCIE,7.197
Sustainability Science,SUSTAIN SCI,1862-4065,1862-4057,ENVIRONMENTAL SCIENCES - SCIE,7.196
Biology Direct,BIOL DIRECT,N/A,1745-6150,BIOLOGY - SCIE,7.173
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,1671-4083,1745-7254,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",7.165
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,ASIAN PAC J ALLERGY,0125-877X,2228-8694,IMMUNOLOGY - SCIE,7.143
Environmental Health,ENVIRON HEALTH-GLOB,N/A,1476-069X,ENVIRONMENTAL SCIENCES - SCIE,7.133
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,0147-6513,1090-2414,ENVIRONMENTAL SCIENCES - SCIE; TOXICOLOGY - SCIE,7.129
Current Opinion in Virology,CURR OPIN VIROL,1879-6257,1879-6265,VIROLOGY - SCIE,7.121
Cell Death Discovery,CELL DEATH DISCOV,N/A,2058-7716,CELL BIOLOGY - SCIE,7.113
Journal of Innate Immunity,J INNATE IMMUN,1662-811X,1662-8128,IMMUNOLOGY - SCIE,7.111
CELLULAR ONCOLOGY,CELL ONCOL,2211-3428,2211-3436,CELL BIOLOGY - SCIE; PATHOLOGY - SCIE,7.051
Review of Environmental Economics and Policy,REV ENV ECON POLICY,1750-6816,1750-6824,ENVIRONMENTAL STUDIES - SSCI,7.048
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,1361-9209,1879-2340,ENVIRONMENTAL STUDIES - SSCI,7.041
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,7.021
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,1383-5742,1388-2139,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; TOXICOLOGY - SCIE,7.015
Marine Pollution Bulletin,MAR POLLUT BULL,0025-326X,1879-3363,ENVIRONMENTAL SCIENCES - SCIE; MARINE & FRESHWATER BIOLOGY - SCIE,7.001
Open Biology,OPEN BIOL,N/A,2046-2441,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,7
PROTEIN SCIENCE,PROTEIN SCI,0961-8368,1469-896X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.993
Journal of Statistical Software,J STAT SOFTW,1548-7660,1548-7660,STATISTICS & PROBABILITY - SCIE,6.992
INFLAMMATION RESEARCH,INFLAMM RES,1023-3830,1420-908X,CELL BIOLOGY - SCIE; IMMUNOLOGY - SCIE,6.986
BIOMACROMOLECULES,BIOMACROMOLECULES,1525-7797,1526-4602,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.979
ZOOLOGICAL RESEARCH,ZOOL RES,2095-8137,N/A,ZOOLOGY - SCIE,6.975
VIROLOGICA SINICA,VIROL SIN,1674-0769,1995-820X,VIROLOGY - SCIE,6.947
Environmental Research Letters,ENVIRON RES LETT,1748-9326,1748-9326,ENVIRONMENTAL SCIENCES - SCIE,6.947
AMBIO,AMBIO,0044-7447,1654-7209,ENVIRONMENTAL SCIENCES - SCIE,6.943
CHEMICAL RECORD,CHEM REC,1527-8999,1528-0691,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.935
BIOINFORMATICS,BIOINFORMATICS,1367-4803,1460-2059,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,6.931
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,ECOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI,6.91
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,1466-822X,1466-8238,ECOLOGY - SCIE,6.909
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE,6.869
REVIEWS IN FISH BIOLOGY AND FISHERIES,REV FISH BIOL FISHER,0960-3166,1573-5184,MARINE & FRESHWATER BIOLOGY - SCIE,6.845
Bioengineered,BIOENGINEERED,2165-5979,2165-5987,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,6.832
CELL BIOLOGY AND TOXICOLOGY,CELL BIOL TOXICOL,0742-2091,1573-6822,CELL BIOLOGY - SCIE; TOXICOLOGY - SCIE,6.819
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,J PHOTOCH PHOTOBIO B,1011-1344,1873-2682,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.814
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE,6.802
Journal of Environmental Sciences,J ENVIRON SCI,1001-0742,1878-7320,ENVIRONMENTAL SCIENCES - SCIE,6.796
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,INT COMMUN HEAT MASS,0735-1933,1879-0178,THERMODYNAMICS - SCIE,6.782
Annals of Clinical Microbiology and Antimicrobials,ANN CLIN MICROB ANTI,N/A,1476-0711,MICROBIOLOGY - SCIE,6.781
Journal of Industrial and Engineering Chemistry,J IND ENG CHEM,1226-086X,1876-794X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.76
QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,0033-5770,1539-7718,BIOLOGY - SCIE,6.75
